relation_id,label,domain,range,property_type,property_characteristics,description
born_in,出生于,Person,Place,ObjectProperty,,人物出生地点
died_in,逝世于,Person,Place,ObjectProperty,,人物逝世地点
studied_at,就读于,Person,Organization,ObjectProperty,,人物学习经历所属机构
worked_at,工作于,Person,Organization,ObjectProperty,,人物工作经历所属机构
collaborated_with,合作于,Person,Person,ObjectProperty,SymmetricProperty,人物之间的合作关系
authored,撰写,Person,Work,ObjectProperty,,人物撰写作品
published_in,发表于,Work,PublicationVenue,ObjectProperty,,作品发表的期刊或载体
proposed,提出,Person,Concept,ObjectProperty,,人物提出某个理论或概念
designed,设计,Person,Machine,ObjectProperty,,人物设计的机器或系统
contributed_to,贡献于,Person,Event,ObjectProperty,,人物参与或贡献的事件项目
related_to_field,相关领域,Entity,Field,ObjectProperty,,实体与学科方向的关联
foundation_of,奠定基础,Concept,Field,ObjectProperty,,概念对学科的基础作用
located_in,位于,Entity,Place,ObjectProperty,,实体所处地点
occurred_at,发生于,Event,Organization,ObjectProperty,,事件发生的机构或场所
targeted_machine,目标机器,Event,Machine,ObjectProperty,,事件或项目所针对的机器
has_birth_date,出生日期,Person,Literal,DatatypeProperty,,人物出生日期
has_death_date,逝世日期,Person,Literal,DatatypeProperty,,人物逝世日期
has_year,年份,Entity,Literal,DatatypeProperty,,实体相关年份
has_nationality,国籍,Person,Literal,DatatypeProperty,,人物国籍
has_alias,别名,Entity,Literal,DatatypeProperty,,实体的别名或简称
